Year	iso3	Total population 	Population aged 15-24 years 	Population aged 65 years or older 	Population aged 14 years or younger 	Population aged 25-64 years 	Total debt service (% of GNI)	GDP deflator (base year varies by country)	GDP (current US$)	GDP (current LCU)	GDP at market prices (constant 2010 US$)	GDP growth (annual %)	GDP (constant LCU)	GDP, PPP (current international $)	GDP, PPP (constant 2011 international $)	GDP per capita (current US$)	GDP per capita (current LCU)	GDP per capita, PPP (current international $)	GDP per capita, PPP (constant 2011 international $)	GNI (current LCU)	GNI per capita, Atlas method (current US$)	GNI per capita (current LCU)	GNI per capita, PPP (current international $)	DEC alternative conversion factor (LCU per US$)	PPP conversion factor, GDP (LCU per international $)	Mortality rate, infant (per 1,000 live births)	Population growth (annual %)	General government total expenditure (current LCU)
2003	BRB	272.26099999999997	39.364000000000004	31.726	57.519	143.65200000000004		653.46834	3274856571.0	6549713142.0	4060730167.0	2.17125	1002300000.0	3289089057.0	3917677992.0	12028.37193	24056.74387	12073.390220000001	14389.420419999999	6344213142.0	11740.0	23301.95343	11570.0	2.0	1.99135	15.3	0.28764	2513000000.0
2003	BRN	349.55699999999996	65.094	9.657	100.681	174.125		63.7304	6557333085.0	11424185700.0	13146904064.0	2.9039599999999997	17925803691.0	25209794199.0	30027723243.0	18758.98089	32681.896510000002	65178.52895	85902.22265	11424185700.0	18000.0	32681.896510000002	65180.0	1.7422	0.4531600000000001	7.4	1.7820200000000002	3910000000.0
2003	BTN	616.474	140.726	24.506999999999998	225.479	225.762	1.20678	113.81062	622026107.8	28973976100.0	888427847.1	7.6643300000000005	25458059400.0	2197559185.0	2617542155.0	1009.0062300000001	46999.51028	3564.723220000001	4245.98954	28331396000.0	950.0	45957.16283	3490.0	46.58	13.18462	50.6	2.9721599999999997	9945000000.0
2003	BWA	1810.4379999999999	419.285	56.3	661.263	673.59	0.74132	73.20165	7511582173.0	37181580600.0	9527298167.0	4.62589	50793360900.0	16806327447.0	20018241535.0	4149.04138	20537.33991	9283.0204	11057.12625	33638852700.0	3230.0	18580.50521	8400.0	4.9499	2.21236	49.8	1.32141	16276000000.0
2003	CAF	3923.2940000000003	788.837	154.805	1650.392	1329.26	0.07115	100.43923000000001	1139754799.0	662000000000.0	1583951437.0	-5.39749	660000000000.0	2645080017.0	3150590207.0	290.50966	168844.3005	681.56108	803.04719	661000000000.0	260.0	168431.31600000002	680.0	581.2003	250.43697000000003	111.3	1.63204	84802000000.0
2003	CAN	31596.592999999997	4306.128	4059.176	5773.209	17458.08		84.69592	892000000000.0	1250000000000.0	1430000000000.0	1.80227	1480000000000.0	1020000000000.0	1230000000000.0	28172.148830000002	39471.99773	32186.226860000002	38805.67111	1210000000000.0	25230.0	38292.99785	31220.0	1.4011	1.2262600000000001	5.2	0.99623	505358000000.0
2003	CHE	7289.901	857.549	1135.296	1224.394	4072.6620000000003		92.50534	352000000000.0	474000000000.0	491000000000.0	0.049710000000000004	512000000000.0	276000000000.0	367000000000.0	47960.56497	64588.49285	36419.37836	50062.1597	506000000000.0	45630.0	68926.61444	38870.0	1.3467	1.71725	4.4	0.74192	160393000000.0
2003	CHL	15729.268	2586.897	1288.3339999999996	3951.143	7902.894		72.7987	77840186385.0	53800000000000.0	164000000000.0	3.95675	73900000000000.0	175000000000.0	248000000000.0	4948.74818	3421564.492	11133.57073	15761.128709999999	50700000000000.0	4650.0	3225440.934	10500.0	691.4	307.3196	8.0	1.1812799999999999	11774611000000.0
2003	CHN	1291485.488	216651.75	92696.97099999999	285413.126	696723.641	2.27358	69.74263	1660000000000.0	13700000000000.0	2910000000000.0	10.0356	19700000000000.0	5100000000000.0	6080000000000.0	1288.64292	10666.09749	3933.59948	4718.32667	13700000000000.0	1280.0	10600.45793	3910.0	8.277000000000001	2.69259	24.2	0.6228600000000001	2499895000000.0
2003	CIV	17491.539	3338.368	502.945	7684.61	5965.616	4.38548	87.40773	15306602560.0	8900000000000.0	21656650171.0	-1.35954	10200000000000.0	40101591089.0	47765541810.0	875.0861	508600.30100000004	2292.62794	2730.77983	7570000000000.0	620.0	432547.9336	1950.0	581.2003	221.84162	93.6	1.7655900000000002	1558621000000.0
