Data from series

CRE. PIB per cápita (euros)
Series	CRE41912
Periodicity	Anual
Unit	Euros
DATA
2010	19.213	Definitivo	
2009	19.190	Definitivo	
2008	20.354	Definitivo	
2007	19.923	Definitivo	
2006	18.967	Definitivo	
2005	17.874	Definitivo	
2004	16.841	Definitivo	
2003	16.055	Definitivo	
2002	15.190	Definitivo	
2001	14.336	Definitivo	
2000	13.328	Definitivo	

CRE. PIB per cápita (euros)
Series	CRE41870
Periodicity	Anual
Unit	Euros
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	30.914	Primera estimación	
2016	30.006	Avance	
2015	29.177	Provisional	
2014	28.044	Definitivo	
2013	27.442	Definitivo	
2012	27.485	Definitivo	
2011	28.533	Definitivo	
2010	28.752	Definitivo	
2009	28.892	Definitivo	
2008	30.128	Definitivo	
2007	29.451	Definitivo	
2006	28.185	Definitivo	
2005	26.594	Definitivo	
2004	25.034	Definitivo	
2003	23.733	Definitivo	
2002	22.652	Definitivo	
2001	21.484	Definitivo	
2000	20.287	Definitivo	

CRE. PIB per cápita (euros)
Series	CRE41867
Periodicity	Anual
Unit	Euros
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	33.088	Primera estimación	
2016	31.784	Avance	
2015	30.736	Provisional	
2014	29.509	Definitivo	
2013	28.858	Definitivo	
2012	29.275	Definitivo	
2011	29.842	Definitivo	
2010	30.114	Definitivo	
2009	29.828	Definitivo	
2008	31.243	Definitivo	
2007	30.259	Definitivo	
2006	28.555	Definitivo	
2005	26.502	Definitivo	
2004	24.732	Definitivo	
2003	23.306	Definitivo	
2002	22.117	Definitivo	
2001	20.932	Definitivo	
2000	19.542	Definitivo	

CRE. PIB per cápita (euros)
Series	CRE41864
Periodicity	Anual
Unit	Euros
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	26.044	Primera estimación	
2016	25.317	Avance	
2015	25.114	Provisional	
2014	24.348	Definitivo	
2013	23.726	Definitivo	
2012	23.917	Definitivo	
2011	24.649	Definitivo	
2010	25.052	Definitivo	
2009	24.861	Definitivo	
2008	25.986	Definitivo	
2007	25.492	Definitivo	
2006	24.338	Definitivo	
2005	22.806	Definitivo	
2004	21.603	Definitivo	
2003	20.838	Definitivo	
2002	19.673	Definitivo	
2001	18.919	Definitivo	
2000	17.813	Definitivo	

CRE. PIB per cápita (euros)
Series	CRE41861
Periodicity	Anual
Unit	Euros
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	19.524	Primera estimación	
2016	19.210	Avance	
2015	18.875	Provisional	
2014	18.299	Definitivo	
2013	18.434	Definitivo	
2012	18.227	Definitivo	
2011	19.115	Definitivo	
2010	19.706	Definitivo	
2009	20.109	Definitivo	
2008	20.765	Definitivo	
2007	20.404	Definitivo	
2006	19.479	Definitivo	
2005	18.421	Definitivo	
2004	17.540	Definitivo	
2003	16.685	Definitivo	
2002	15.671	Definitivo	
2001	14.753	Definitivo	
2000	14.350	Definitivo	

CRE. PIB per cápita (euros)
Series	CRE41858
Periodicity	Anual
Unit	Euros
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	17.945	Primera estimación	
2016	17.589	Avance	
2015	17.192	Provisional	
2014	16.685	Definitivo	
2013	16.670	Definitivo	
2012	16.668	Definitivo	
2011	17.773	Definitivo	
2010	18.381	Definitivo	
2009	18.883	Definitivo	
2008	19.546	Definitivo	
2007	19.426	Definitivo	
2006	19.078	Definitivo	
2005	18.223	Definitivo	
2004	17.524	Definitivo	
2003	16.358	Definitivo	
2002	15.203	Definitivo	
2001	14.425	Definitivo	
2000	14.132	Definitivo	

Data item: .. Data not available
Data item: - Protected by statistical secrecy
