	Province	Country	Year	Value
55	País Vasco	AND	2013	1.0
56	País Vasco	AND	2014	1.0
57	País Vasco	AND	2015	1.0
58	País Vasco	AND	2016	1.0
59	País Vasco	AND	2017	2.0
60	País Vasco	AGO	1998	21.0
61	País Vasco	AGO	1999	21.0
62	País Vasco	AGO	2000	19.0
63	País Vasco	AGO	2001	21.0
64	País Vasco	AGO	2002	24.0
65	País Vasco	AGO	2003	21.0
66	País Vasco	AGO	2004	14.0
67	País Vasco	AGO	2005	20.0
68	País Vasco	AGO	2006	22.0
69	País Vasco	AGO	2007	23.0
70	País Vasco	AGO	2008	17.0
71	País Vasco	AGO	2009	16.0
72	País Vasco	AGO	2010	16.0
73	País Vasco	AGO	2011	18.0
74	País Vasco	AGO	2012	16.0
75	País Vasco	AGO	2013	16.0
76	País Vasco	AGO	2014	12.0
77	País Vasco	AGO	2015	11.0
78	País Vasco	AGO	2016	8.0
79	País Vasco	AGO	2017	10.0
80	País Vasco	SAU	1998	0.0
81	País Vasco	SAU	1999	1.0
82	País Vasco	SAU	2000	0.0
83	País Vasco	SAU	2001	0.0
84	País Vasco	SAU	2002	1.0
85	País Vasco	SAU	2003	1.0
86	País Vasco	SAU	2004	0.0
87	País Vasco	SAU	2005	1.0
88	País Vasco	SAU	2006	1.0
89	País Vasco	SAU	2007	0.0
90	País Vasco	SAU	2008	0.0
91	País Vasco	SAU	2009	0.0
92	País Vasco	SAU	2010	0.0
93	País Vasco	SAU	2011	0.0
94	País Vasco	SAU	2012	0.0
95	País Vasco	SAU	2013	0.0
96	País Vasco	SAU	2014	0.0
97	País Vasco	SAU	2015	0.0
98	País Vasco	SAU	2016	0.0
99	País Vasco	SAU	2017	0.0
100	País Vasco	ARG	1998	740.0
101	País Vasco	ARG	1999	755.0
102	País Vasco	ARG	2000	789.0
103	País Vasco	ARG	2001	899.0
104	País Vasco	ARG	2002	1033.0
105	País Vasco	ARG	2003	1151.0
106	País Vasco	ARG	2004	1266.0
107	País Vasco	ARG	2005	1372.0
108	País Vasco	ARG	2006	1425.0
109	País Vasco	ARG	2007	1409.0
110	País Vasco	ARG	2008	1339.0
111	País Vasco	ARG	2009	1369.0
112	País Vasco	ARG	2010	1275.0
113	País Vasco	ARG	2011	1041.0
114	País Vasco	ARG	2012	764.0
115	País Vasco	ARG	2013	395.0
116	País Vasco	ARG	2014	252.0
117	País Vasco	ARG	2015	227.0
118	País Vasco	ARG	2016	201.0
119	País Vasco	ARG	2017	179.0
120	País Vasco	ARM	1998	179.0
121	País Vasco	ARM	1999	163.0
122	País Vasco	ARM	2000	157.0
123	País Vasco	ARM	2001	154.0
124	País Vasco	ARM	2002	142.0
125	País Vasco	ARM	2003	131.0
126	País Vasco	ARM	2004	122.0
127	País Vasco	ARM	2005	111.0
128	País Vasco	ARM	2006	106.0
129	País Vasco	ARM	2007	99.0
130	País Vasco	ARM	2008	69.0
131	País Vasco	ARM	2009	59.0
132	País Vasco	ARM	2010	46.0
133	País Vasco	ARM	2011	36.0
134	País Vasco	ARM	2012	23.0
135	País Vasco	ARM	2013	12.0
136	País Vasco	ARM	2014	3.0
137	País Vasco	ARM	2015	0.0
138	País Vasco	ARM	2016	0.0
139	País Vasco	ARM	2017	0.0
140	País Vasco	AUS	1998	43.0
141	País Vasco	AUS	1999	42.0
142	País Vasco	AUS	2000	42.0
143	País Vasco	AUS	2001	40.0
144	País Vasco	AUS	2002	35.0
145	País Vasco	AUS	2003	31.0
146	País Vasco	AUS	2004	27.0
147	País Vasco	AUS	2005	30.0
148	País Vasco	AUS	2006	35.0
149	País Vasco	AUS	2007	36.0
150	País Vasco	AUS	2008	31.0
151	País Vasco	AUS	2009	37.0
152	País Vasco	AUS	2010	38.0
153	País Vasco	AUS	2011	33.0
154	País Vasco	AUS	2012	28.0
155	País Vasco	AUS	2013	23.0
156	País Vasco	AUS	2014	25.0
157	País Vasco	AUS	2015	26.0
158	País Vasco	AUS	2016	22.0
159	País Vasco	AUS	2017	18.0
160	País Vasco	AUT	1998	22.0
161	País Vasco	AUT	1999	22.0
162	País Vasco	AUT	2000	24.0
163	País Vasco	AUT	2001	31.0
164	País Vasco	AUT	2002	31.0
165	País Vasco	AUT	2003	23.0
166	País Vasco	AUT	2004	24.0
167	País Vasco	AUT	2005	27.0
168	País Vasco	AUT	2006	27.0
169	País Vasco	AUT	2007	17.0
170	País Vasco	AUT	2008	19.0
171	País Vasco	AUT	2009	21.0
172	País Vasco	AUT	2010	15.0
173	País Vasco	AUT	2011	10.0
174	País Vasco	AUT	2012	9.0
175	País Vasco	AUT	2013	9.0
176	País Vasco	AUT	2014	9.0
177	País Vasco	AUT	2015	10.0
178	País Vasco	AUT	2016	7.0
179	País Vasco	AUT	2017	4.0
180	País Vasco	BGD	1998	135.0
181	País Vasco	BGD	1999	146.0
182	País Vasco	BGD	2000	145.0
183	País Vasco	BGD	2001	119.0
184	País Vasco	BGD	2002	7.0
185	País Vasco	BGD	2003	3.0
186	País Vasco	BGD	2004	4.0
187	País Vasco	BGD	2005	5.0
188	País Vasco	BGD	2006	3.0
189	País Vasco	BGD	2007	1.0
190	País Vasco	BGD	2008	0.0
191	País Vasco	BGD	2009	0.0
192	País Vasco	BGD	2010	0.0
193	País Vasco	BGD	2011	0.0
194	País Vasco	BGD	2012	0.0
195	País Vasco	BGD	2013	0.0
196	País Vasco	BGD	2014	0.0
197	País Vasco	BGD	2015	0.0
198	País Vasco	BGD	2016	0.0
199	País Vasco	BGD	2017	1.0
200	País Vasco	BLR	1998	22.0
201	País Vasco	BLR	1999	22.0
202	País Vasco	BLR	2000	23.0
203	País Vasco	BLR	2001	25.0
204	País Vasco	BLR	2002	19.0
205	País Vasco	BLR	2003	19.0
206	País Vasco	BLR	2004	17.0
207	País Vasco	BLR	2005	14.0
208	País Vasco	BLR	2006	12.0
209	País Vasco	BLR	2007	13.0
210	País Vasco	BLR	2008	10.0
211	País Vasco	BLR	2009	8.0
212	País Vasco	BLR	2010	6.0
213	País Vasco	BLR	2011	10.0
214	País Vasco	BLR	2012	10.0
215	País Vasco	BLR	2013	5.0
216	País Vasco	BLR	2014	2.0
217	País Vasco	BLR	2015	1.0
218	País Vasco	BLR	2016	0.0
219	País Vasco	BLR	2017	0.0
220	País Vasco	BEL	1998	84.0
