Data from series

Padrón: Población Total
Series	DPOP24496
Periodicity	Anual
Unit	Personas
DATA
2006	6.008.183	Definitivo	
2005	5.964.143	Definitivo	
2004	5.804.829	Definitivo	
2003	5.718.942	Definitivo	
2002	5.527.152	Definitivo	
2001	5.372.433	Definitivo	
2000	5.205.408	Definitivo	
1999	5.145.325	Definitivo	
1998	5.091.336	Definitivo	
1996	5.022.289	Definitivo	

Padrón: Población Total
Series	DPOP24535
Periodicity	Anual
Unit	Personas
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	1.470.273	Definitivo	
2016	1.464.847	Definitivo	
2015	1.467.288	Definitivo	
2014	1.466.818	Definitivo	
2013	1.472.049	Definitivo	
2012	1.474.449	Definitivo	
2011	1.470.069	Definitivo	
2010	1.461.979	Definitivo	
2009	1.446.520	Definitivo	
2008	1.426.109	Definitivo	
2007	1.392.117	Definitivo	
2006	1.370.306	Definitivo	
2005	1.335.792	Definitivo	
2004	1.294.694	Definitivo	
2003	1.269.230	Definitivo	
2002	1.226.993	Definitivo	
2001	1.190.378	Definitivo	
2000	1.149.328	Definitivo	
1999	1.131.128	Definitivo	
1998	1.115.068	Definitivo	
1996	1.097.249	Definitivo	

Padrón: Población Total
Series	DPOP24538
Periodicity	Anual
Unit	Personas
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	643.234	Definitivo	
2016	640.647	Definitivo	
2015	640.476	Definitivo	
2014	640.790	Definitivo	
2013	644.477	Definitivo	
2012	644.566	Definitivo	
2011	642.051	Definitivo	
2010	636.924	Definitivo	
2009	630.578	Definitivo	
2008	620.377	Definitivo	
2007	605.876	Definitivo	
2006	601.874	Definitivo	
2005	593.472	Definitivo	
2004	584.734	Definitivo	
2003	578.210	Definitivo	
2002	569.628	Definitivo	
2001	556.263	Definitivo	
2000	543.757	Definitivo	
1999	538.009	Definitivo	
1998	530.819	Definitivo	
1996	520.574	Definitivo	

Padrón: Población Total
Series	DPOP24541
Periodicity	Anual
Unit	Personas
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	2.194.158	Definitivo	
2016	2.189.534	Definitivo	
2015	2.189.257	Definitivo	
2014	2.188.985	Definitivo	
2013	2.191.682	Definitivo	
2012	2.193.093	Definitivo	
2011	2.184.606	Definitivo	
2010	2.178.339	Definitivo	
2009	2.172.175	Definitivo	
2008	2.157.112	Definitivo	
2007	2.141.860	Definitivo	
2006	2.133.684	Definitivo	
2005	2.124.846	Definitivo	
2004	2.115.279	Definitivo	
2003	2.112.204	Definitivo	
2002	2.108.281	Definitivo	
2001	2.101.478	Definitivo	
2000	2.098.596	Definitivo	
1999	2.100.441	Definitivo	
1998	2.098.628	Definitivo	
1996	2.098.055	Definitivo	

Padrón: Población Total
Series	DPOP24544
Periodicity	Anual
Unit	Personas
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	315.381	Definitivo	
2016	315.794	Definitivo	
2015	317.053	Definitivo	
2014	319.002	Definitivo	
2013	322.027	Definitivo	
2012	323.609	Definitivo	
2011	322.955	Definitivo	
2010	322.415	Definitivo	
2009	321.702	Definitivo	
2008	317.501	Definitivo	
2007	308.968	Definitivo	
2006	306.377	Definitivo	
2005	301.084	Definitivo	
2004	293.553	Definitivo	
2003	287.390	Definitivo	
2002	281.614	Definitivo	
2001	270.400	Definitivo	
2000	264.178	Definitivo	
1999	265.178	Definitivo	
1998	263.644	Definitivo	
1996	264.941	Definitivo	

Padrón: Población Total
Series	DPOP24484
Periodicity	Anual
Unit	Personas
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	84.959	Definitivo	
2016	84.519	Definitivo	
2015	84.263	Definitivo	
2014	84.963	Definitivo	
2013	84.180	Definitivo	
2012	84.018	Definitivo	
2011	82.376	Definitivo	
2010	80.579	Definitivo	
2009	78.674	Definitivo	
2008	77.389	Definitivo	
2007	76.603	Definitivo	
2006	75.861	Definitivo	
2005	75.276	Definitivo	
2004	74.654	Definitivo	
2003	74.931	Definitivo	
2002	76.152	Definitivo	
2001	75.694	Definitivo	
2000	75.241	Definitivo	
1999	73.704	Definitivo	
1998	72.117	Definitivo	
1996	68.796	Definitivo	

Padrón: Población Total
Series	DPOP24490
Periodicity	Anual
Unit	Personas
DATA
PERIOD	VALUE	DATA TYPE	NOTE
2017	86.120	Definitivo	
2016	86.026	Definitivo	
2015	85.584	Definitivo	
2014	84.509	Definitivo	
2013	83.679	Definitivo	
2012	80.802	Definitivo	
2011	78.476	Definitivo	
2010	76.034	Definitivo	
2009	73.460	Definitivo	
2008	71.448	Definitivo	
2007	69.440	Definitivo	
2006	66.871	Definitivo	
2005	65.488	Definitivo	
2004	68.016	Definitivo	
2003	68.463	Definitivo	
2002	69.184	Definitivo	
2001	68.789	Definitivo	
2000	66.263	Definitivo	
1999	56.929	Definitivo	
1998	60.108	Definitivo	
1996	59.576	Definitivo	

Data item: .. Data not available
Data item: - Protected by statistical secrecy
