Year	Province	poblacion_total	tasa_bruta_mortalidad	tasa_bruta_natalidad	tasa_fecundidad	PIB_pc	tasa_actividad	tasa_paro	ocupados
2014	Cataluña	7518903.0	8.286798	9.674711	41.500348	26579.0	62.61749999999999	20.325000000000003	3030.8999999999996
2014	Comunidad Foral de Navarra	640790.0	8.665053	9.721652	42.910842	28044.0	59.7525	15.71	262.475
2014	Comunidad de Madrid	6454440.0	6.753285	10.272477	41.536998	30610.0	63.86	18.747500000000002	2714.9500000000003
2014	Comunitat Valenciana	5004844.0	8.398442	8.962987	38.632814	19669.0	58.98	25.8125	1800.925
2014	Cueta	84963.0	6.015192	14.204835	58.661523	18299.0	58.912499999999994	31.8425	25.925
2014	Extremadura	1099632.0	9.872855	8.380818	36.719472	15274.0	55.105000000000004	29.7925	353.90000000000003
2014	Galicia	2748695.0	10.925655	7.16598	32.70033	19706.0	53.78	21.6525	998.0
2014	Illes Balears	1103442.0	7.003314	9.525471	37.989949	23473.0	64.8875	20.14	482.875
2014	La Rioja	319002.0	9.188781	9.023218	40.048461	24348.0	60.2775	18.16	128.225
2014	Melilla	84509.0	5.76834	19.326912	79.276705	16685.0	55.260000000000005	28.4	24.325
2014	País Vasco	2188985.0	9.313113	8.949659	41.437646	29509.0	57.01	16.325	865.3
2014	Principado de Asturias	1061756.0	12.154904	6.261502	29.581077	19508.0	51.8375	21.1275	376.29999999999995
2014	Región de Murcia	1466818.0	7.10721	11.147867	45.808612	18191.0	61.085	26.585	530.0749999999999
2015	Andalucía	8399043.0	8.573246	9.601069	40.195602	17271.0	58.760000000000005	31.54	2767.425
2015	Aragón	1317847.0	10.848639	8.588727	39.459186	25302.0	58.7775	16.29	541.175
2015	Canarias	2100306.0	7.10133	7.588225	29.998532	19233.0	61.925000000000004	29.105	788.125
2015	Cantabria	585179.0	10.352176	7.49723	34.233118	20900.0	56.085	17.6475	228.0
2015	Castilla - La Mancha	2059191.0	9.699442	8.867421	38.630219	18225.0	58.602500000000006	26.345	728.825
2015	Castilla y León	2472052.0	11.890035	7.056031	34.206064	21770.0	54.805	18.259999999999998	938.925
