Province	Year	Exp Smoothing 0.5 alpha	Exp Smoothing 0.65 alpha	Exp Smoothing 0.8 alpha	Exp Smoothing 0.95 alpha
Cueta	2005	16.0	16.6	17.2	17.8
Cueta	2006	17.0	17.51	17.84	17.99
Cueta	2007	16.5	16.5285	16.368	16.0995
Cueta	2008	12.25	10.984975	9.6736	8.404975
Cueta	2009	10.125	9.04474125	8.33472	8.02024875
Cueta	2010	8.5625	7.715659437499999	7.2669440000000005	7.0510124375
Cueta	2011	7.78125	7.250480803125	7.0533888000000005	7.002550621875
Cueta	2012	6.890625	6.43766828109375	6.21067776	6.05012753109375
Cueta	2013	5.4453125	4.853183898382812	4.442135552	4.102506376554688
Cueta	2014	4.72265625	4.298614364433984	4.0884271104	4.0051253188277345
Cueta	2015	4.361328125	4.104515027551894	4.01768542208	4.0002562659413865
Cueta	2016	4.1806640625	4.036580259643163	4.003537084416	4.00001281329707
Extremadura	2003	11367.0	11367.0	11367.0	11367.0
Extremadura	2004	11367.0	11367.0	11367.0	11367.0
Extremadura	2005	11036.0	10936.7	10837.4	10738.1
Extremadura	2006	10463.0	10256.345000000001	10079.48	9932.405
Extremadura	2007	9770.0	9489.77075	9277.496	9119.77025
Extremadura	2008	8793.5	8402.4697625	8109.0992	7882.1385125
Extremadura	2009	6562.25	5756.014416875	5086.619839999999	4508.556925625
Extremadura	2010	4920.625	4145.95504590625	3640.5239679999995	3340.47784628125
Extremadura	2011	3489.8125	2789.4342660671873	2375.3047936	2123.0738923140625
Extremadura	2012	2203.90625	1573.0019931235156	1209.46095872	978.2536946157031
Extremadura	2013	1283.953125	787.1506975932305	533.0921917439999	394.7126847307852
Extremadura	2014	685.9765625	332.70274415763066	177.01843834879998	103.33563423653925
Extremadura	2015	367.48828125	148.29596045517073	74.60368766975999	51.71678171182697
Extremadura	2016	187.744140625	57.10358615930976	21.320737533952	10.185839085591347
Galicia	2003	6243.0	6243.0	6243.0	6243.0
Galicia	2004	6243.0	6243.0	6243.0	6243.0
Galicia	2005	5988.0	5911.5	5835.0	5758.5
Galicia	2006	5527.5	5362.575	5220.6	5101.575
Galicia	2007	5049.75	4848.70125	4701.72	4598.47875
Galicia	2008	4331.875	4046.1454375	3831.544	3663.2239375
Galicia	2009	3165.4375	2715.500903125	2365.5087999999996	2082.211196875
Galicia	2010	2327.21875	1918.27531609375	1664.3017599999998	1518.66055984375
Galicia	2011	1720.109375	1394.8463606328123	1223.260352	1133.2830279921875
Galicia	2012	1177.0546875	900.2962262214843	751.8520704	658.9641513996094
Galicia	2013	767.02734375	547.1536791775195	435.97041407999995	372.0982075699805
Galicia	2014	450.013671875	277.9537877121318	193.59408281599997	144.95491037849902
Galicia	2015	260.5068359375	143.43382569924614	95.51881656319999	74.69774551892496
Galicia	2016	136.75341796875	58.65183899473615	29.50376331263999	16.08488727594625
Illes Balears	2003	14228.0	14228.0	14228.0	14228.0
Illes Balears	2004	14228.0	14228.0	14228.0	14228.0
Illes Balears	2005	13769.5	13631.95	13494.4	13356.85
Illes Balears	2006	13181.75	12957.282500000001	12774.08	12632.1425
Illes Balears	2007	12519.875	12242.748875000001	12041.216	11896.707125
Illes Balears	2008	11424.9375	10999.462106250001	10672.2432	10408.33535625
Illes Balears	2009	9224.96875	8416.0617371875	7754.4486400000005	7194.1667678124995
Illes Balears	2010	7034.984375	6094.871608015625	5426.889728	4962.458338390625
Illes Balears	2011	5326.4921875	4484.905062805468	3979.7779456	3685.2229169195316
Illes Balears	2012	3797.24609375	3043.916771981914	2610.35558912	2338.8611458459764
Illes Balears	2013	2605.623046875	1984.4708701936697	1653.271117824	1460.243057292299
Illes Balears	2014	1638.3115234375	1130.7148045677845	867.4542235647999	710.462152864615
Illes Balears	2015	974.15576171875	597.2501815987246	421.49084471296	330.0231076432308
Illes Balears	2016	543.577880859375	282.48756355955356	174.698168942592	123.85115538216155
La Rioja	2003	12914.0	12914.0	12914.0	12914.0
La Rioja	2004	12914.0	12914.0	12914.0	12914.0
La Rioja	2005	12546.0	12435.6	12325.2	12214.8
La Rioja	2006	12124.0	11958.76	11826.64	11727.64
La Rioja	2007	11694.0	11507.166	11376.528	11287.182
La Rioja	2008	10998.5	10724.4581	10517.7056	10352.2091
La Rioja	2009	9173.75	8530.410335	7982.74112	7499.160455
La Rioja	2010	7941.375	7346.49361725	6963.748224	6748.50802275
La Rioja	2011	6763.1875	6201.5227660375	5860.7496448	5643.1754011375
La Rioja	2012	5397.09375	4790.682968113125	4396.94992896	4111.608770056875
La Rioja	2013	4136.046875	3545.4890388395934	3179.3899857919996	2936.830438502844
La Rioja	2014	2806.0234375	2200.321163593858	1816.6779971583999	1549.0415219251422
La Rioja	2015	1726.51171875	1190.6624072578502	880.93559943168	692.1020760962572
La Rioja	2016	910.755859375	478.4818425402475	252.18711988633595	124.85510380481287
Melilla	2003	43.0	43.0	43.0	43.0
Melilla	2004	43.0	43.0	43.0	43.0
Melilla	2005	42.5	42.35	42.2	42.05
Melilla	2006	27.75	23.2725	18.84	14.4525
Melilla	2007	17.375	12.695375	9.368	7.372625
Melilla	2008	12.6875	9.643381250000001	8.2736	7.96863125
Melilla	2009	7.34375	4.6751834375	3.25472	2.2984315625000002
Melilla	2010	4.671875	2.936314203125	2.2509439999999996	2.014921578125
