Province	Year	Exp Smoothing 0.5 alpha	Exp Smoothing 0.65 alpha	Exp Smoothing 0.8 alpha	Exp Smoothing 0.95 alpha
Castilla y León	2011	10806.9296875	9742.196282460156	9073.4239744	8638.100394908593
Castilla y León	2012	8506.96484375	7444.318698861054	6780.28479488	6328.55501974543
Castilla y León	2013	6545.982421875	5585.761544601369	5024.056958976	4672.177750987272
Castilla y León	2014	4922.9912109375	4100.016540610479	3644.8113917951996	3368.6088875493633
Castilla y León	2015	3563.99560546875	2868.2557892136674	2492.96227835904	2263.180444377468
Castilla y León	2016	2525.497802734375	1970.4395262247835	1688.192455671808	1525.8090222188735
Castilla-La Mancha	2003	30857.0	30857.0	30857.0	30857.0
Castilla-La Mancha	2004	30857.0	30857.0	30857.0	30857.0
Castilla-La Mancha	2005	30400.5	30263.55	30126.6	29989.65
Castilla-La Mancha	2006	29634.75	29357.0925	29120.52	28925.0325
Castilla-La Mancha	2007	28781.375	28428.182375	28166.504	27977.851625
Castilla-La Mancha	2008	26683.1875	25930.11383125	25301.3008	24754.642581250002
Castilla-La Mancha	2009	23042.59375	21686.8398409375	20581.86016	19669.6321290625
Castilla-La Mancha	2010	19749.796875	18287.443944328126	17281.972031999998	16617.631606453124
Castilla-La Mancha	2011	17329.3984375	16091.455380514844	15383.5944064	14994.431580322656
Castilla-La Mancha	2012	14773.69921875	13573.709383180196	12851.11888128	12356.821579016134
Castilla-La Mancha	2013	12631.349609375	11568.64828411307	10961.423776256	10582.391078950806
Castilla-La Mancha	2014	10459.1748046875	9435.576899439573	8821.8847552512	8401.76955394754
Castilla-La Mancha	2015	8212.58740234375	7180.35191480385	6537.17695105024	6087.788477697377
Castilla-La Mancha	2016	6207.793701171875	5245.073170181347	4669.835390210048	4297.239423884869
Cataluña	2003	239206.0	239206.0	239206.0	239206.0
Cataluña	2004	239206.0	239206.0	239206.0	239206.0
Cataluña	2005	238098.5	237766.25	237434.0	237101.75
Cataluña	2006	236026.25	235288.2875	234650.0	234111.3875
Cataluña	2007	231478.125	229855.400625	228474.0	227289.069375
Cataluña	2008	220237.0625	216296.79021875001	212891.6	209910.65346875
Cataluña	2009	205944.53125	200277.67657656252	195899.92	192564.9326734375
Cataluña	2010	197274.265625	192689.78680179687	190063.184	188802.04663367188
Cataluña	2011	184238.1328125	178722.7253806289	174974.2368	172082.0023316836
Cataluña	2012	163821.56640625	155766.20388322012	149718.84736	144838.8501165842
Cataluña	2013	146253.783203125	138164.07135912703	132892.569472	129493.64250582921
Cataluña	2014	125523.8916015625	116473.52497569445	110413.7138944	106028.98212529146
Cataluña	2015	102070.94580078125	91867.43374149306	84977.14277887999	79988.54910626457
Cataluña	2016	81418.97290039062	71652.15180952258	65609.02855577599	61728.07745531323
Com. Foral de Navarra	2003	10797.0	10797.0	10797.0	10797.0
Com. Foral de Navarra	2004	10797.0	10797.0	10797.0	10797.0
Com. Foral de Navarra	2005	10669.0	10630.6	10592.2	10553.8
Com. Foral de Navarra	2006	10181.5	10021.81	9873.64	9736.99
Com. Foral de Navarra	2007	9439.75	9161.3335	8933.128	8749.9495
Com. Foral de Navarra	2008	8445.375	8049.616725	7747.4256000000005	7515.947475
Com. Foral de Navarra	2009	7303.6875	6822.66585375	6479.08512	6229.69737375
Com. Foral de Navarra	2010	6612.34375	6236.5830488125	6032.617024	5936.4348686875
Com. Foral de Navarra	2011	5866.671875	5511.454067084375	5303.3234047999995	5161.771743434375
Com. Foral de Navarra	2012	5133.8359375	4789.658923479531	4581.46468096	4439.038587171719
Com. Foral de Navarra	2013	4595.91796875	4314.080623217836	4162.692936192	4077.0519293585858
Com. Foral de Navarra	2014	4026.958984375	3757.6282181262422	3598.9385872384	3488.952596467929
Com. Foral de Navarra	2015	3192.4794921875	2847.869876344185	2606.18771744768	2414.5476298233966
