Province	Year	Exp Smoothing 0.5 alpha	Exp Smoothing 0.65 alpha	Exp Smoothing 0.8 alpha	Exp Smoothing 0.95 alpha
Cantabria	2006	464.5	463.42	462.88	462.88
Cantabria	2007	456.75	454.047	451.776	449.694
Cantabria	2008	436.375	429.31645000000003	423.1552	417.6847
Cantabria	2009	399.6875	386.2107575	375.03103999999996	365.734235
Cantabria	2010	362.34375	346.423765125	335.006208	327.03671175
Cantabria	2011	327.671875	311.69831779375	301.4012416	294.7018355875
Cantabria	2012	293.3359375	277.4444112278125	267.48024832	260.785091779375
Cantabria	2013	291.66796875	285.6055439297344	285.496049664	288.53925458896873
Cantabria	2014	277.333984375	270.911940375407	267.4992099328	264.2769627294484
Cantabria	2015	257.6669921875	249.51917913139246	243.89984198656	239.31384813647242
Cantabria	2016	235.83349609375	226.43171269598736	219.979968397312	215.26569240682363
Castilla y León	2003	1030.0	1030.0	1030.0	1030.0
Castilla y León	2004	1030.0	1030.0	1030.0	1030.0
Castilla y León	2005	1015.5	1011.15	1006.8	1002.45
Castilla y León	2006	990.75	981.8025	974.16	967.8225
Castilla y León	2007	966.875	956.580875	949.232	944.241125
Castilla y León	2008	922.9375	906.15330625	893.0464	882.26205625
Castilla y León	2009	848.46875	820.2536571875	797.80928	779.4131028125
Castilla y León	2010	807.734375	785.638780015625	773.161856	767.620655140625
Castilla y León	2011	739.3671875	711.1235730054688	691.4323712	675.8310327570313
Castilla y León	2012	658.68359375	624.593250551914	600.68647424	582.8915516378515
Castilla y León	2013	649.841796875	635.25763769317	632.937294848	638.0945775818926
Castilla y León	2014	616.4208984375	601.2901731926095	592.9874589696	585.7547288790946
Castilla y León	2015	589.21044921875	575.7515606174134	568.19749179392	563.1877364439547
Castilla y León	2016	558.605224609375	544.7130462160947	536.039498358784	529.7593868221977
Castilla-La Mancha	2003	661.0	661.0	661.0	661.0
Castilla-La Mancha	2004	661.0	661.0	661.0	661.0
Castilla-La Mancha	2005	659.0	658.4	657.8	657.2
Castilla-La Mancha	2006	653.0	650.99	649.16	647.51
Castilla-La Mancha	2007	642.5	638.6465000000001	635.432	632.7755
Castilla-La Mancha	2008	607.75	595.976275	585.4864	575.988775
Castilla-La Mancha	2009	539.875	515.39169625	494.69728	477.19943875
Castilla-La Mancha	2010	462.9375	431.2870936875	407.739456	390.5599719375
Castilla-La Mancha	2011	394.46875	362.850482790625	342.3478912	329.227998596875
Castilla-La Mancha	2012	347.234375	321.9976689767187	308.46957824	301.46139992984376
Castilla-La Mancha	2013	323.6171875	307.69918414185156	301.693915648	300.07306999649217
Castilla-La Mancha	2014	308.30859375	298.14471444964806	294.7387831296	293.3536534998246
Castilla-La Mancha	2015	275.654296875	262.3006500573768	253.34775662592	245.51768267499125
Castilla-La Mancha	2016	261.8271484375	253.0052275200819	249.069551325184	247.87588413374957
Cataluña	2003	22680.0	22680.0	22680.0	22680.0
Cataluña	2004	22680.0	22680.0	22680.0	22680.0
Cataluña	2005	22713.0	22722.9	22732.8	22742.7
Cataluña	2006	23372.5	23573.815000000002	23772.16	23967.535
Cataluña	2007	23748.75	23932.08525	24054.432	24117.12675
Cataluña	2008	23345.875	23289.1798375	23165.2864	23001.7063375
Cataluña	2009	22141.4375	21760.262943125	21382.65728	21040.235316875
Cataluña	2010	20465.71875	19829.59203009375	19308.531456	18902.511765843752
Cataluña	2011	18463.359375	17640.007210532814	17030.5062912	16583.075588292188
Cataluña	2012	16241.1796875	15286.352523686484	14621.30125824	14147.203779414609
Cataluña	2013	15288.58984375	14668.623383290269	14393.060251648	14326.56018897073
Cataluña	2014	13759.294921875	13083.518184151595	12662.6120503296	12334.828009448536
Cataluña	2015	12228.6474609375	11532.931364453058	11090.92241006592	10779.841400472427
Cataluña	2016	11024.82373046875	10420.17597755857	10074.984482013184	9868.942070023622
Com. Foral de Navarra	2003	493.0	493.0	493.0	493.0
