Year	Province	Immigrant Stock	Prediction step I	1 features	2 features	3 features	4 features	5 features	6 features	7 features
2010	Isole	15600	15510.280336207956	18162.66943603972	17656.92030596473	17627.07873738179	15512.659338320958	15510.280334095367	15594.695800553687	11530.44107944266
2010	Nord-est	143942	144300.2438274928	126963.94163159386	141743.7015744031	140516.14662386157	144035.45383325365	144300.24381337885	138159.742170631	136895.21820570104
2010	Nord-ovest	183355	183811.34596076683	162275.82721219654	179860.80425150212	181417.82442853088	184214.64127809866	183811.345943376	174618.6206144004	178872.98512230875
2010	Sud	37312	36908.549786686206	37586.935968865895	34644.853196486685	34345.1373807304	36957.30110864077	36908.54978202758	36486.85710606292	39557.012820330456
2011	Centro	64389	64208.61120097283	64108.0849502443	60906.09725426357	61725.8070105777	64097.5772188184	64208.611193501274	62776.41861972514	63937.864301316426
2011	Isole	17204	16468.95732384067	19285.288295588223	18748.279250024352	18716.59319994562	16471.48337001283	16468.957321597478	16558.590434890033	12243.12765121994
2011	Nord-est	149034	150415.5313117809	132344.53547275023	147750.6455768735	146471.06818183564	150139.5198054027	150415.53129706878	144014.80186920345	142696.68875313108
2011	Nord-ovest	190937	192232.39069884876	169710.2540356359	188100.86076875642	189729.21352049857	192654.16239418773	192232.39068066122	182618.51424778844	187067.78616832686
2011	Sud	41416	39563.72618250744	40290.91501308662	37137.180773041466	36815.903601879734	39615.984641969895	39563.72617751367	39111.69721236986	42402.71787611746
2012	Centro	56317	57973.3181738595	57882.55401918765	54991.511088717576	55731.6188970655	57873.06669270845	57973.31816711361	56680.20569804169	57728.86348367424
2012	Isole	15926	15516.944614276716	18170.473362014553	17664.50692749614	17634.652536932765	15519.324638571861	15516.944612163219	15601.396349283965	11535.395346157607
2012	Nord-est	135986	134623.385261458	118449.66560844285	132238.28622388205	131093.0518247363	134376.35223876615	134623.3852482905	128894.66922935915	127714.94497950509
2012	Nord-ovest	171434	172857.91339222333	152605.70961644812	169142.78692348948	170607.02329858366	173237.17609045588	172857.91337586855	164212.9882737275	168213.83255133804
2012	Sud	38771	37473.8950325102	38162.67236809864	35175.52435967519	34871.21765881198	37523.39310090303	37473.895027780214	37045.743090995675	40162.925793509356
2013	Centro	58771	58931.75410998616	58839.48940936862	55900.65070793477	56652.99424717524	58829.845234964865	58931.75410312874	57617.26342941283	58683.25800614357
