Year	Province	Previous time	Previous two times	Manual Selection	MI 3 selection	MI 5 selection	MI 7 selection	MI 10 selection	MI 15 selection
2009	Nord-ovest	143901.23099283723	145022.11530955177	145805.9624229829	145006.3589907991	146097.14082620668	149673.18376933725	151021.91691384077	150363.3368033227
2009	Sud	43451.41702723808	42881.19158820159	45860.85168278753	43778.78650739769	42788.632080185496	42278.12075349462	40343.70959125082	41896.24374057663
2010	Centro	124898.9864790428	126935.5471427295	123757.24010339023	126704.03907380228	123638.60590542364	125353.57037994565	124924.82530143426	126933.865987234
2010	Isole	7129.879734761805	7210.973684897228	6489.183158462794	7772.193841299079	8162.117425640079	7436.9283096965755	7502.1592374852935	4758.167278904108
2010	Nord-est	135792.84247834125	138249.06393847577	136769.34900987754	137979.36649450372	137367.06681064286	135905.0763237522	138059.37698161765	134633.80200567245
2010	Nord-ovest	158424.63553293885	161017.67650065184	158167.97278329823	160837.07961732487	160125.38146291507	160771.1900896593	161834.2325181088	160408.0868587394
2010	Sud	46290.03035630724	46456.73426540256	46658.609514337404	47313.443327665416	46640.964719182695	47309.72434898433	46544.02456623425	48625.082404688015
2011	Centro	132395.6767467827	132610.79671449182	128859.20756353848	132335.33471888542	129023.04177220365	128885.85122683598	128658.48366000695	131572.88610751944
2011	Isole	7470.638383295436	7448.179415243985	7174.432260422025	8008.066764160143	8323.417709024203	6855.485832761253	6975.169791959939	5966.42651614617
2011	Nord-est	143082.1597459032	142972.90168311898	142722.76574289607	142676.29221423954	142175.66477979848	139051.92077700514	139415.47354124684	139527.85948981871
2011	Nord-ovest	168156.57748601405	168518.2788929573	163400.89678032562	168278.35157000055	167848.03092553522	164941.64210450862	164660.2131854217	168354.4347524089
2011	Sud	48680.55127293155	48605.7298031369	46510.918061484386	49442.00955434388	48555.190290836916	48340.80220109304	47046.395359598304	45867.95082781284
2012	Centro	136171.1158404749	134737.23122083137	132060.739898187	134454.50590598898	131292.0188544573	133858.0166427587	133179.84050715013	129359.05278773954
2012	Isole	8017.727956629249	8069.9142572984865	7789.909488026875	8623.721919977717	8902.506699765818	7815.400612365829	9159.15180035825	9415.535933230158
2012	Nord-est	146780.48526163975	145078.72319711818	144742.59891514058	144774.03233141196	144717.72843895797	140123.6307413602	140693.36699274654	137665.58901394665
2012	Nord-ovest	175379.20192939814	174525.15865190065	170846.18171376974	174235.7845795342	174116.2647496792	171510.994651101	169238.4857184303	161438.50001646593
2012	Sud	50373.92376182193	49968.290850782345	48446.10178845102	50792.89255045863	49911.04420886622	48812.48028095435	47725.627818761976	45878.72550579875
2013	Centro	125157.42117273192	117747.39489584463	119463.49398392634	117677.45267083467	117195.01439726341	121996.20999048404	121348.92233050613	120378.37899482738
2013	Isole	7398.735182228706	6974.1844102229	6775.619813961357	7541.222909792004	8230.665492241233	7208.440405070487	6729.311701034649	3211.902514841121
2013	Nord-est	138076.02963105435	131350.6192358924	134989.3683662452	131219.63786035945	132829.13958760878	130926.7109419798	131455.4347770185	133921.42695034068
2013	Nord-ovest	166215.19105721233	158672.02227642445	159925.34179372346	158588.4914926875	161705.05897263193	162510.23763900818	162895.2665883501	164120.56182573913
2013	Sud	46058.68962244037	43221.499731829004	40273.65465583828	44129.078240827774	44608.64729026547	46823.167282507144	47961.91558657792	46501.60781041887
2014	Centro	128199.23920046791	126633.69249149109	123381.68270581483	126446.14479852526	124136.62046989366	125431.53201526198	125912.08442642259	125884.61575490513
2014	Isole	7678.011383473396	7625.0898682708075	7340.045210837008	8183.459262415942	8805.53319459925	8292.890676600933	8736.653081745048	10311.501217880603
2014	Nord-est	142402.72659959146	141062.41889246547	143703.35792968114	140807.8286432131	140697.44629311276	137955.88036320385	141018.05858704346	141198.13978881316
