Year	Province	Previous time	Previous two times	Previous three times	Manual Selection	MI 3 selection	MI 5 selection	MI 7 selection	MI 10 selection	MI 15 selection
2008	Nord-est	120410.62663689484	120898.20922953627	120076.60002547788	123310.34216327961	120076.60002547785	121578.72555563349	120451.15095316741	120919.70525974923	125068.53102377901
2008	Nord-ovest	151744.1467886523	152540.08371800825	152139.8319746985	155733.20084946445	152139.8319746984	152981.01923449858	153050.47656053802	158217.14167032327	157984.55518543243
2008	Sud	30074.417526265137	30023.414579533557	29579.602117520066	34582.48525936131	29579.60211752005	29489.863642039843	29753.103966845036	28937.692358309356	32152.8048850084
2009	Centro	53433.62104990466	53662.2482063382	53550.45854357412	54625.67087100395	53550.45854357409	56163.85467587766	56206.95513085505	61047.53818698379	58327.779770950205
2009	Isole	13356.85081479037	13457.144188410304	13134.204000324728	15272.033616956252	13134.204000324724	13109.247164627677	12918.684131361288	14347.877018296416	14453.326565962774
2009	Nord-est	127990.11355282135	128306.16958408916	126987.51092388056	129449.61727132386	126987.51092388052	127899.39187549533	126592.56129314275	125025.35339196821	129618.68609863678
2009	Nord-ovest	161718.51943915716	162197.86890462667	161078.0288475841	164733.08571892758	161078.02884758404	161103.98827160397	162935.98541730994	164423.89797864953	165987.42279595044
2009	Sud	31781.201085265813	31824.403753497965	30932.91220348516	36164.780804318856	30932.91220348516	31164.25677842322	31938.702000189325	29429.009895508447	30586.15507414654
2010	Centro	59402.70016334965	60042.7462845838	58943.83191691087	57466.15601679517	58943.83191691086	62291.86093734701	62235.196264149185	60318.19199266221	59172.1852721468
2010	Isole	14884.35474069626	15051.139406836803	14919.178191234425	14899.720606881714	14919.17819123442	15139.78266959383	14540.560002239883	17039.126455505888	16655.824109352427
2010	Nord-est	140489.9455435112	141678.17743939115	138623.16552178824	140107.45925773136	138623.16552178818	138595.63172076026	138195.46580716353	139630.82945431315	145138.80726896142
2010	Nord-ovest	178236.08054839322	179876.26183375306	176140.33718511782	175974.44504012243	176140.33718511777	175460.60685306153	176728.37509492986	178985.1124538162	182104.34534912353
2010	Sud	35187.514114066806	35540.584435230776	34594.503760973035	37799.59279754801	34594.50376097303	35155.1862162164	35956.91011971487	35745.50880397549	36152.11958612934
2011	Centro	63756.18998202715	64029.93734721734	64639.961346904	59652.41064583728	64639.961346903976	66972.7827250295	66266.3288547793	64959.403152092884	65352.45972023845
2011	Isole	16166.25593224686	16271.496286938733	16405.877089881084	16069.590029636684	16405.877089881076	16319.30483751311	15778.594205786503	18268.932070318504	17412.92230647085
2011	Nord-est	149166.87252560753	149503.69728441577	150158.282766368	147830.23067780957	150158.28276636795	147779.38822841112	147281.61109214378	143696.6155716723	142292.8776373941
2011	Nord-ovest	190010.50361904636	190584.79799511092	191713.90979777364	183580.26461898704	191713.90979777352	188517.19883327276	188455.19972079786	189180.1734024959	184862.73075415066
2011	Sud	38666.36803487146	39001.165274902305	39079.50623093301	38557.000609233306	39079.506230932995	38887.17137801598	39309.268745090114	39118.422881817896	40524.4415599159
2012	Centro	66726.22136034892	66693.46252049146	66272.30166487124	64230.786216932494	66272.30166487122	68949.667464459	69571.23483051792	66913.01936738158	58870.50187306221
2012	Isole	17828.47865758814	17994.55732133601	17818.428023415334	18019.868615806063	17818.428023415327	17692.558151148212	17221.41939530828	19464.765896468576	16742.871258398918
2012	Nord-est	154443.70426964606	154046.34732415486	152360.23773183906	151978.7068545036	152360.23773183906	151251.26413213095	149866.30763690863	147700.12282701262	143655.97532890821
2012	Nord-ovest	197867.7185215012	197579.37163653574	195695.0658748421	192351.10129130728	195695.06587484208	193840.8680287331	194218.19287167175	191779.32548795332	183388.8462290809
2012	Sud	42919.33690320102	43369.74820781499	43178.70672680413	42417.17931723588	43178.70672680412	42872.00987739109	43271.35043921174	43397.867436169516	37703.09897758202
