Year	Province	Previous time	Previous two times	Previous three times	Manual Selection	MI 3 selection	MI 5 selection	MI 7 selection	MI 10 selection	MI 15 selection
2008	Nord-ovest	43659.92740214515	43689.144630411	43744.43410158481	44029.77972237317	43744.43410158475	43745.9454729068	44420.640084865794	43826.62330002319	45055.88837148557
2008	Sud	1176.4171231678572	1173.9292057670932	1183.925155526703	1980.4316585297802	1183.9251555267012	1459.910222288815	1473.3823571765877	1736.365856345953	1516.7776648848503
2009	Centro	22293.157908968366	22264.12264380848	22047.78883336074	22805.603980804473	22047.788833360704	22099.447477812533	21521.36656916486	21262.841660097423	21270.136570563765
2009	Isole	326.9606173382055	327.64884494221167	333.49861339495686	602.3563066886536	333.49861339495646	466.8863550588489	35.86769911066449	-30.05215581718494	969.7678216659765
2009	Nord-est	6357.567559353996	6357.743299212534	6393.475397516067	6371.384483458136	6393.475397516058	6620.088050689261	6109.8342535653355	6443.787638171159	6791.335737413639
2009	Nord-ovest	46403.83219078735	46342.17640573349	46513.39018942903	46837.14417694615	46513.390189428974	46509.43170054939	47172.89504432819	47671.293272685936	48360.18842359343
2009	Sud	1224.499566894064	1221.2658890884557	1234.881412956112	1487.0575847539176	1234.8814129561106	1511.6490399904708	1484.6023406477846	1250.1473146215749	1133.2503665851964
2010	Centro	24310.483547970103	24316.483542707614	24543.247507870274	24113.78773775826	24543.247507870245	24612.97089973627	24505.74187926102	25121.78393214724	25378.666576431548
2010	Isole	351.5360885760445	351.31928290689393	351.3173895555477	224.77923557121358	351.31738955554727	485.5073810998277	153.1359060939643	-383.15373294685105	106.44112628527591
2010	Nord-est	7285.02447389505	7308.154168743467	7355.070807961808	7384.603641756153	7355.070807961799	7572.764744076544	7139.700463300373	7744.16371314364	7591.444867843962
2010	Nord-ovest	50844.5129935899	50871.69424442848	51351.889549882515	51233.13421797604	51351.88954988245	51331.30264626641	51936.95041775464	52391.492931366796	51977.660050176695
2010	Sud	1344.1714268348449	1345.040227478607	1362.419683685574	1469.0315615172085	1362.4196836855724	1638.0258680166564	1919.563409168863	1394.2988053018125	542.7621468757479
2011	Centro	27787.378478749586	27871.591631770098	28034.202599939526	27353.80158887672	28034.202599939497	28066.54101227717	27452.651379207135	28154.254015819366	28765.335525829323
2011	Isole	410.30351979696377	412.0376752673792	415.4328845974829	-8.61048149474027	415.43288459748237	550.1526627164789	127.02241216517302	36.11652286032768	686.0991756335143
2011	Nord-est	8153.713957215185	8168.414426369227	8151.939803749361	8076.608733742495	8151.93980374935	8362.727251454207	7782.158337884333	8601.888146137795	8128.709681771254
2011	Nord-ovest	57269.39597416059	57394.01392518742	57675.376386059754	56413.045651175154	57675.37638605968	57586.64484072607	57263.52876629505	56867.647653636406	57146.601127944
2011	Sud	1467.0487830240397	1467.486107310632	1473.5851025981754	1044.4681163029354	1473.5851025981733	1749.0713465747917	1716.302833706639	1215.3997804154333	821.648394401258
2012	Centro	31152.081040834582	31211.27019067794	31161.049698371204	30937.09990475436	31161.049698371164	31151.047105911017	30525.57596497602	29832.63298385204	28425.095657210593
2012	Isole	458.3859635231705	459.16261600208935	456.96709907034665	355.162258647591	456.9670990703461	590.507082970324	232.03908569855844	209.4637302913893	1064.220119139593
2012	Nord-est	8840.758653125204	8839.863942825079	8848.386090586459	8720.718399354722	8848.386090586448	9061.456915609213	8343.476952879097	8427.502968704228	8277.116671018557
2012	Nord-ovest	64716.83225797527	64870.01143294039	64918.332848926686	63710.79067479114	64918.33284892661	64752.56522647333	64093.10208296572	62866.50097254262	61502.87349824423
2012	Sud	1593.1316354616486	1593.1207037664492	1601.1046513099927	1119.606643574156	1601.1046513099907	1876.9524868352687	1773.8937073566515	626.4224261647032	415.61721268337624
2013	Centro	29189.24883805588	28906.796532359433	28842.330737598648	28791.387702138534	28842.330737598604	28884.940564052384	28881.83210585845	28708.176996557842	29146.731267501535
2013	Isole	385.72804855912483	378.90940176555506	377.39218612377385	-40.404308699247395	377.39218612377323	512.735795209421	288.84897234339724	-300.0836661517774	903.6103551245669
2013	Nord-est	8318.262764633759	8240.205597116745	8273.89042922452	8543.94895977072	8273.890429224508	8498.955929300975	8185.852868490199	7527.017714070846	7508.15173793198
