Year	Province	Previous time	Previous two times	Previous three times	Manual Selection	MI 3 selection	MI 5 selection	MI 7 selection	MI 10 selection	MI 15 selection
2009	Nord-ovest	225556.23895685203	244198.3378506587	239058.90311761122	249696.82800262098	239058.90311761125	239498.84583617936	244686.20386755132	257612.87763032483	261279.32790864957
2009	Sud	58249.322953465744	67839.60841042691	65801.21382216159	83915.01686959468	65801.2138221616	84047.539884663	72886.00924480123	72270.02638978753	77449.72872928763
2010	Centro	283397.9366666251	292419.85871172824	298429.4744327113	269934.772004802	298429.47443271143	282506.8498538234	275980.6757606239	280110.5227213795	290449.18395268684
2010	Isole	37048.48534517298	39510.17143071384	41358.7468532928	42264.91470568315	41358.746853292825	47514.98798041916	45350.23944544069	44973.81324626643	43544.67665551556
2010	Nord-est	194147.47051115148	198190.87099895894	202842.56802437536	199880.3203139214	202842.5680243755	198932.35209727503	194961.17771886446	194380.68268847608	197164.36218374735
2010	Nord-ovest	274211.7720236194	279438.1757947664	286980.07171747123	282238.4577878101	286980.0717174714	281216.82644184737	283213.6101266977	283400.510080741	296974.67033970915
2010	Sud	83333.95333455471	87610.84589763441	91844.43222698582	92928.52905690494	91844.43222698588	105171.81581418935	91539.10382677938	95150.10321752509	88506.42769000167
2011	Centro	318461.27626267396	318932.6229493105	320933.56921374035	297046.03719571	320933.5692137405	306131.21513483603	299752.63722097006	294670.7312832617	285002.6735923118
2011	Isole	45943.798023846204	47013.4922538426	47841.401474001286	48510.433431419915	47841.401474001315	53961.56501186798	48884.354785032905	46228.321451718206	47833.58570040297
2011	Nord-est	210105.40412298302	208543.11234623555	209013.66640460194	206905.75108281826	209013.6664046021	207046.37468072388	198737.06028540665	193103.91560459975	184393.93578766892
2011	Nord-ovest	298228.14314537577	296367.04881296254	296662.77077344205	290276.4295532652	296662.77077344223	294259.00320340483	295807.9954044328	282221.46531179926	278576.7053541662
2011	Sud	99250.80005179654	100700.2322807875	101998.59218834472	99180.36063498833	101998.5921883448	116280.44740969353	102671.37674961318	100254.5333655804	91689.50718647568
2012	Centro	346890.1636165521	344854.30099628423	341759.5716815705	321602.99672288046	341759.5716815707	326979.3895164381	317925.3382657555	321601.10033356794	301752.13611468486
2012	Isole	54277.95022114938	54973.90830374943	54926.731566129216	56710.65168413488	54926.731566129245	60526.489118679005	55721.19277188941	53522.73393161362	57332.973951116204
2012	Nord-est	225634.08780975884	223536.3396521107	220514.06347796315	220836.5572769706	220514.06347796327	218817.01339377	211833.31240900373	202970.17435534936	208852.91308972286
2012	Nord-ovest	317774.6926293984	314213.6988488657	310265.45406227757	307023.7572235649	310265.45406227774	308255.5326147653	307297.575399818	295929.3379909863	294520.77291950723
2012	Sud	116224.0124536213	117486.46168000237	116911.06503055851	110629.26486090093	116911.06503055856	130134.56838490574	109975.55345547016	105460.43663322546	108207.60139822261
2013	Centro	276638.06127254886	250754.39259955467	250877.70485464687	263233.3173383281	250877.70485464708	251409.4619989296	262036.60154530426	274479.8212427313	266708.4965730682
2013	Isole	47704.04708679503	44687.10845924499	45104.246559715895	38901.651407330646	45104.24655971593	52156.4503776015	40508.5513903944	38854.424631231166	38889.201498717535
2013	Nord-est	205062.52842912963	194100.7598665704	192456.71850294736	202490.83234157186	192456.71850294754	195848.2188179921	191677.9139879269	194185.35983838525	213528.61586804548
2013	Nord-ovest	280772.70034915593	263457.1036361232	261172.50362494518	271793.7912398203	261172.5036249454	267730.3555546579	272499.66265005525	276660.873834487	283187.03328009695
