Year	Province	Previous time	Previous two times	Previous three times	Manual Selection	MI 3 selection	MI 5 selection	MI 7 selection	MI 10 selection	MI 15 selection
2009	Centro	36928.91678149711	37804.38395054221	38585.53342578508	36885.20445135092	36944.265544318965	36233.8125566981	36111.12094388696	38184.55928422551	36612.30548931824
2009	Isole	5598.313134094574	5967.922623539773	5644.680838967672	7356.851737662311	5976.747801440985	6382.619386774308	6261.4547017987115	5824.298427419647	7564.317952937052
2009	Nord-est	20735.559521653744	21804.75460931133	20586.482207591638	21658.645119906127	22135.95140173645	21362.68926605213	21378.522035248585	20460.711570559357	20941.2985373328
2009	Nord-ovest	12380.25198775984	12832.903964576022	12776.109218839407	13844.745436404868	13917.207891235717	13547.57498210343	13492.406467689434	13809.532236149616	12380.427753861972
2009	Sud	19424.418954796547	20428.49183003704	18441.24286264297	21125.892200434737	20024.915597826166	20345.5836178311	19880.41873061227	18673.27332929158	19801.30487455572
2010	Centro	40358.44916617848	40696.14775637885	41863.84962850221	38523.87129037075	39902.22931819502	39502.78055731157	39195.61657218459	41250.16907687948	41893.0702369308
2010	Isole	6025.076534287308	6051.951239966662	8136.399776727896	6070.740148989735	6155.413687971698	6723.825947772977	6564.272927855678	8177.70466668763	7077.506788798048
2010	Nord-est	23371.20914742237	23746.196994039714	28379.46336958692	23846.753005624094	24008.35679843972	23569.385599880126	24456.701911053682	27922.653199238026	26901.359958221656
2010	Nord-ovest	13413.739258106103	13496.599299840436	15208.137875245091	14697.865520041738	14654.001310883794	14789.45119181454	15025.571965488816	15415.540138280054	14007.652969908462
2010	Sud	21539.725735992826	21798.656298232476	26412.403230544223	21947.581402471293	21454.865600633053	22002.49625034893	21791.69806079736	25380.519566921434	25182.489775260423
2011	Centro	42542.65509873118	42503.40741533509	40093.44489932488	39906.501869436994	41759.21189405442	41631.545953445915	41665.97151526125	39390.24191167828	39684.88682588687
2011	Isole	6634.8854410687345	6703.107191928971	5956.557096732586	6254.559176840105	6747.995350338599	7245.90423338242	7176.443473889604	6035.878356324087	5811.591644051744
2011	Nord-est	24881.848749550387	24923.29451979724	24745.153328403874	24983.254144859085	25269.935585816125	25062.842269575765	25590.415116955573	24612.934634317993	25325.886319794314
2011	Nord-ovest	14194.253524964623	14195.454495804308	13127.004026986171	12000.882787660808	15434.96406371204	15520.06168665305	15714.765662441167	13234.272143267077	12698.993701393882
2011	Sud	23032.88346389608	23097.42575634339	22187.359159178523	21702.54109812945	22756.432839634886	23449.700223716405	23352.90410077346	22043.529404738147	20386.509360657663
2012	Centro	43691.317069852346	43348.704724743846	38566.71996611034	41096.31993460335	42433.32230085296	41915.965895249974	41476.199699613375	38737.254302019704	37376.979479448506
2012	Isole	7180.936924206909	7223.301889560498	6791.463100053741	7403.651944451414	7255.88481181255	7779.680511246781	7978.820227910286	7016.334584496013	6971.518342119318
2012	Nord-est	25814.558156718605	25682.293343422672	23198.34676334751	25635.212687794163	25989.102501954785	25543.067797180844	26167.915598792297	22952.993109987125	22119.241580873953
2012	Nord-ovest	14499.672151126651	14365.039355105093	12936.537087018296	12056.585223928476	15605.152289049833	15448.268315671638	14685.265535193837	13128.967225514443	12801.64974917218
2012	Sud	23692.052956723895	23516.292935232632	21567.053868337942	22487.40128594738	23068.028733521223	23546.253992545808	23320.20125501444	21456.90688491378	21278.393174801487
2013	Centro	31472.515332285897	27622.361834316544	29990.14895726097	29510.53267702754	27613.53837433119	27876.131950756306	27474.304972362414	30229.098740316087	30687.99131526414
2013	Isole	5832.77591781492	5372.322319525827	6053.826889202654	5514.858897564101	5482.737667773487	6013.420751171991	5703.014958020587	5993.13584517414	5567.301412441641
2013	Nord-est	21416.324270876856	19878.084116512146	19795.05621880677	22659.702334413378	20406.696713346457	19935.356924379612	20469.17152968056	19908.58699330778	21059.20749519211
